Fecha;Cod. Operativo;Referencia;Concepto;Importe;Saldo
13/08/2026;4633;000008808;Impuesto ley 25.413 debito 0,6%;(7.498,75);15.734.743,01
13/08/2026;1862;34370285;Pago haberes - 260813507;(239.790,94);15.742.241,76
13/08/2026;0133;000000317;Cheque debitado;(510.000,00);15.982.032,70
13/08/2026;0133;000000316;Cheque debitado;(500.000,00);16.492.032,70
12/08/2026;4633;000008802;Impuesto ley 25.413 debito 0,6%;(13.832,40);16.992.032,70
12/08/2026;1304;15270019;Compra con tarjeta de debito - Villa del pino sa - tarj 8866;(100.000,00);17.005.865,10
12/08/2026;1304;13026904;Compra con tarjeta de debito - Trielec sa - tarj 8866;(2.205.400,33);17.105.865,10
11/08/2026;4637;000008799;Impuesto ley 25.413 credito 0,6%;(5.487,67);19.311.265,43
11/08/2026;4633;000008798;Impuesto ley 25.413 debito 0,6%;(67.973,12);19.316.753,10
11/08/2026;2377;08699102;Pago a proveedores recibido - Prevencion aseguradora de rie 30684361917;914.612,42;19.384.726,22
11/08/2026;1304;14031666;Compra tarjeta debito - Portho gelatto;(11.800,00);18.470.113,80
11/08/2026;1304;13928662;Compra tarjeta debito - Rodamientos cuyo srl;(6.693,39);18.481.913,80
11/08/2026;1304;09845619;Compra tarjeta debito - Pinturerias cordoba;(426.219,42);18.488.607,19
11/08/2026;4760;000008793;Iva percep rg 2408 alic reducida;(2.016,29);18.914.826,61
11/08/2026;4600;000008792;Iva 10,5% reg trans fisc ley 27743;(14.114,06);18.916.842,90
11/08/2026;3631;000008791;Cobro de interes por descubierto - Del 08/07/26 al 07/08/26;(134.419,61);18.930.956,96
11/08/2026;0133;000000318;Cheque debitado;(750.000,00);19.065.376,57
11/08/2026;3043;000000364;Echeq clearing recibido 48hs;(429.048,50);19.815.376,57
11/08/2026;4719;97309449;Pago de servicios - Imp.afip: 3071630464311793242;(8.235.741,96);20.244.425,07
11/08/2026;1304;21810354;Compra tarjeta debito - Merpago*dupe;(1.318.800,00);28.480.167,03
10/08/2026;4633;000008788;Impuesto ley 25.413 debito 0,6%;(5.010,00);29.798.967,03
10/08/2026;0150;000000325;Canje interno recibido 24 hs;(340.000,00);29.803.977,03
10/08/2026;1304;04788839;Compra tarjeta debito - Eso serv del valle;(172.000,00);30.143.977,03
10/08/2026;0133;000000224;Cheque debitado;(323.000,00);30.315.977,03
